"TVK","NAME","ID_DIFF"
"NHMSYS0021123706","Crocothemis servilia",5
"NBNSYS0000005598","Platycnemis pennipes",1
"NBNSYS0000005599","Pyrrhosoma nymphula",1
"NBNSYS0000005601","Ischnura pumilio",3
"NBNSYS0000005602","Enallagma cyathigerum",2
"NBNSYS0000005603","Coenagrion mercuriale",3
"NBNSYS0000005604","Coenagrion scitulum",3
"NBNSYS0000005605","Coenagrion pulchellum",4
"NBNSYS0000005606","Coenagrion puella",2
"NBNSYS0000005607","Coenagrion hastulatum",3
"NBNSYS0000005610","Erythromma najas",2
"NBNSYS0000005611","Ceriagrion tenellum",1
"NBNSYS0000005612","Lestes barbarus",3
"NBNSYS0000005613","Lestes sponsa",2
"NBNSYS0000005614","Lestes dryas",3
"NBNSYS0000005616","Calopteryx virgo",4
"NBNSYS0000005617","Calopteryx splendens",4
"NBNSYS0000005620","Gomphus vulgatissimus",1
"NBNSYS0000005621","Cordulegaster boltonii",1
"NBNSYS0000005622","Brachytron pratense",2
"NBNSYS0000005623","Aeshna caerulea",3
"NBNSYS0000005624","Aeshna juncea",1
"NBNSYS0000005625","Aeshna grandis",1
"NBNSYS0000005626","Aeshna cyanea",1
"NBNSYS0000005627","Aeshna mixta",1
"NBNSYS0000005630","Anax imperator",1
"NBNSYS0000005632","Cordulia aenea",2
"NBNSYS0000005635","Somatochlora arctica",3
"NBNSYS0000005637","Libellula depressa",1
"NBNSYS0000005638","Libellula fulva",2
"NBNSYS0000005639","Libellula quadrimaculata",1
"NBNSYS0000005640","Orthetrum coerulescens",2
"NBNSYS0000005641","Orthetrum cancellatum",2
"NBNSYS0000005642","Pantala flavescens",5
"NBNSYS0000005643","Crocothemis erythraea",4
"NBNSYS0000005645","Sympetrum striolatum",1
"NBNSYS0000005649","Sympetrum flaveolum",3
"NBNSYS0000005650","Sympetrum sanguineum",2
"NBNSYS0000005651","Sympetrum danae",2
"NHMSYS0000344169","Anax parthenope",3
"NHMSYS0000344177","Erythromma viridulum",3
"NHMSYS0000344179","Ischnura elegans",1
"NHMSYS0000344188","Sympetrum fonscolombii",3
"NHMSYS0020546806","Aeshna affinis",4
"NHMSYS0020546892","Leucorrhinia dubia",1
"NHMSYS0020546972","Somatochlora metallica",3
"NHMSYS0021009068","Chalcolestes viridis",0
"NHMSYS0021009091","Anaciaeschna isoceles",0
"NHMSYS0021123700","Ischnura senegalensis",3
"NBNSYS0000005631","Hemianax ephippiger",4
"NBNSYS0000005644","Sympetrum vulgatum",5
"NHMSYS0000344168","Anax junius",5
"NBNSYS0000005636","Oxygastra curtisii",3
"NBNSYS0000005608","Coenagrion armatum",0
"NBNSYS0000005619","Gomphus flavipes",5
"NBNSYS0000005618","Sympecma fusca",4
"NHMSYS0000344190","Sympetrum pedemontanum",3
"NHMSYS0000532531","Leucorrhinia pectoralis",0
"NHMSYS0000532481","Somatochlora flavomaculata",0
"NBNSYS0000005609","Coenagrion lunulatum",3
"NBNSYS0000005648","Sympetrum meridionale",0
"NHMSYS0000344182","Orthetrum brunneum",0
"NHMSYS0000532361","Ischnura genei",5
