taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Atylotus plebeius,NBNSYS0000007877,1,1,1911,,,
Choerades gilvus,NBNSYS0100002378,1,1,1938,31,12,1951
Dasypogon diadema,NBNSYS0000007913,,,,31,12,1899
Haematopota subcylindrica,NBNSYS0000042531,6,7,1987,,,
Hybomitra expollicata,NBNSYS0000007882,1,1,1909,,,
Machimus cowini,NHMSYS0020734171,1,1,1941,,,
Odontomyia hydroleon,NBNSYS0000007835,1,1,1986,,,
Oxycera fallenii,NBNSYS0000007810,1,1,1997,,,
Oxycera leonina,NBNSYS0000007812,6,7,1989,,,
Thereva cinifera,NBNSYS0100005797,1,1,1992,,,
Villa venusta,NBNSYS0100005964,,,,31,12,1958
